time,open,high,low,close,volume
1767312000,100.09,100.28,99.98,100.28,804
1767312060,100.34,100.35,99.97,100.09,765
1767312120,100.11,100.23,99.7,99.81,865
1767312180,99.87,100.07,99.04,100.07,684
1767312240,100.11,100.13,99.64,100.13,760
1767312300,100.21,100.96,100.21,100.33,820
1767312360,100.36,100.39,99.73,99.93,861
1767312420,99.94,100.21,99.48,100.21,756
1767312480,100.16,100.2,99.57,99.99,731
1767312540,99.99,100.45,99.81,100.42,793
1767312600,100.36,100.54,100.08,100.23,813
1767312660,100.32,100.32,99.76,100.27,743
1767312720,100.36,100.69,100.22,100.3,799
1767312780,100.31,100.31,99.13,99.18,806
1767312840,99.18,99.46,98.6,98.76,792
1767312900,98.75,99.65,98.46,99.45,851
1767312960,99.49,99.57,98.46,98.47,679
1767313020,98.51,99.16,98.5,98.88,827
1767313080,98.88,99.3,98.55,99.18,734
1767313140,99.09,99.13,98.5,98.85,712
1767313200,98.89,98.98,98.46,98.52,867
1767313260,98.55,98.84,98.49,98.81,754
1767313320,98.78,98.84,98.22,98.38,864
1767313380,98.35,98.44,97.77,97.83,788
1767313440,97.85,98.06,97.48,97.82,691
