time,price,volume
1767312000,100.09,7
1767312001,100.14,9
1767312002,100.14,21
1767312003,100.06,8
1767312004,99.98,7
1767312005,100.04,11
1767312006,100.09,13
1767312007,100.14,22
1767312008,100.24,11
1767312009,100.21,18
1767312010,100.14,14
1767312011,100.21,16
1767312012,100.27,13
1767312013,100.18,4
1767312014,100.17,11
1767312015,100.26,14
1767312016,100.19,16
1767312017,100.24,6
1767312018,100.27,9
1767312019,100.2,15
1767312020,100.13,12
1767312021,100.21,16
1767312022,100.17,3
1767312023,100.08,2
1767312024,100.17,5
1767312025,100.19,20
1767312026,100.13,24
1767312027,100.14,21
1767312028,100.21,4
1767312029,100.19,23
1767312030,100.11,12
1767312031,100.16,11
1767312032,100.07,12
1767312033,100.16,12
1767312034,100.26,12
1767312035,100.18,1
1767312036,100.22,9
1767312037,100.16,11
1767312038,100.19,17
1767312039,100.22,23
1767312040,100.13,23
1767312041,100.09,15
1767312042,100.14,13
1767312043,100.17,18
1767312044,100.16,22
1767312045,100.15,14
1767312046,100.08,4
1767312047,100.15,25
1767312048,100.12,18
1767312049,100.12,15
1767312050,100.19,12
1767312051,100.25,4
1767312052,100.16,16
1767312053,100.11,19
1767312054,100.08,16
1767312055,100.03,13
1767312056,100.05,23
1767312057,100.12,25
1767312058,100.2,7
1767312059,100.28,7
1767312060,100.34,4
1767312061,100.35,7
1767312062,100.33,20
1767312063,100.34,12
1767312064,100.28,11
1767312065,100.24,16
1767312066,100.34,5
1767312067,100.25,23
1767312068,100.34,3
1767312069,100.28,11
1767312070,100.28,25
1767312071,100.2,1
1767312072,100.17,19
1767312073,100.11,8
1767312074,100.08,19
1767312075,99.98,8
1767312076,100.04,14
1767312077,99.97,21
1767312078,100,15
1767312079,100.09,17
1767312080,100,1
1767312081,100.01,15
1767312082,100.07,3
1767312083,100.01,25
1767312084,100.07,11
1767312085,100.15,7
1767312086,100.08,24
1767312087,100.05,10
1767312088,100.11,7
1767312089,100.13,24
1767312090,100.14,10
1767312091,100.1,10
